Malzeme,Malzeme Açıklaması,Satınalma Açık.,Dönem Başı Miktar,Dönem Başı Tutar,Dönem Giriş Miktar,Dönem Giriş Tutar,Dönem Çıkış Miktar,Dönem Çıkış Tutar,Dönem Miktar,Dönem Tutar,Dönem Sonu Miktar,Dönem Sonu Tutar,Marka,depo
52C5991,KHS 100/70-50+ÖFB HİDROLİK SİLİNDİR MAG,16907206,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6058,KHS 100/56-350+ÖFB HİDROLİK SİLİNDİR-H0967,16907207-AKYAPAK-H0967,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6079,KHS 63/45-130+ÖFB HİDROLİK SİLİNDİR,16903421,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6080,KHS 100/70-300+ÖFB HİDROLİK SİLİNDİR,16907208,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6081,KHS 63/45-1570 HİDROLİK SİLİNDİR-H0536,16903422-AKYAPAK-H0536,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6083,KHSK-63/45-30 + ÖFB L2=93 MAG HİDROLİK SİL.,16903423,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6128,KHS 50/28*50+AB HİD.SİLİNDİR MAG,16901372 MAG KODU-NBR,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6154,KHSK 50/36*185+AFB HİDROLİK SİLİNDİR  MAG,16901375,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6165,KHS 100/56-80+ÖFB HİDROLİK SİLİNDİR-H0962,16907209-AKYAPAK-H0962,0,0,2,"23,236.88",2,"23,236.88",0,0,0,0,MAG,BURSA
52C6179,KHS 100/56-400+ÖEBK+AEBK HİD.SİL. MAG,16907211 MAG KODU - ERALP,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6180,KHS 100/56-240+ÖEBK+AEBK HİD.SİL. MAG,16907210 MAG KODU - ERALP,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6196,KHS 63/36-100 HİDROLİK SİLİNDİR-H0581,16903429-AKYAPAK-H0581,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6201,KHSK 40/28*100+ÖFB  ÖZEL HİDROLİK SİLİNDİR MAG,16900418,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6256,KHSK 125/90-50+ÖFB HİD. SİLİNDİR,16211001-17101106 - RENTEK,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6319,KHS 100/56-60 HİDROLİK SİLİNDİR-H0220,30016382-AKYAPAK-H0220,0,0,13,"101,753.14",13,"101,753.14",0,0,0,0,MAG,BURSA
52C6364,KHSK 63/45-450+ÖFB+D1:M33*2-L1:85MM HİD.SİL.,16903440,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6371,KHS 80/46-50+AEB+ÖEBK HİDROLİK SİLİNDİR-H1007,16905338-AKYAPAK-H1007,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6375,KHS 80-240 +ÖEBK+AEBK  HİDR.SİL.MAG,16905339,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6396,KHS 80/45-110 AEBK+ÖEBK HİDROLİK SİLİNDİR,16905340,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6397,KHS 50*300+OEB+ÖEBK HİDROLİK SİLİNDİR  MAG,16901379,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6398,KHS 50*300+AEBK+ÖEBK HİDROLİK SİLİNDİR  MAG,16901380,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6399,KHS 125*400+OEB+ÖEBK HİDROLİK SİLİNDİR,16910125,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6488,KHS 100*50+ÖFB  L2=70mm HİDROLİK SİLİNDİR   MAG,16907214,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6547,Q 32/18-900 HİDROLİK SİLİNDİR-H1016,30016893-AKYAPAK-H1016,0,0,2,"13,068.79",2,"13,068.79",0,0,0,0,MAG,BURSA
52C6553,KHS 100/70-180+ÖFB HİDROLİK SİLİNDİR-MAG,MAG KODU - ÇEMTAŞ,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6554,KHS 125/90-450+ÖFB HİDROLİK SİLİNDİR-MAG,16910060,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6575,KHSK-Y 50/36*220+AFB YAST.HİDROLİK SİLİNDİR MAG,16901383,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6605,KHS 50/28*60+ÖFB HİD.SİLİNDİR MAG,16901384 - DEMETAL,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6611,KHSK 80/56-50+ÖFB  HİD.SİLİNDİR  MAG,16905344,0,0,1,"4,210.85",1,"4,210.85",0,0,0,0,MAG,BURSA
52C6632,THS Q40/28*150+ÖFB ÖZEL HİD.SİLİNDİR,30016901 -ŞAHİNLER-32H,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6685,KHS 125*240+OEB+ÖEBK HİDROLİK SİLİNDİR  MAG,MAG-BURÇELİK,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6686,KHS 125*240+OEB+ÖEBK CETVELLİ HİD.SİLİNDİR  MAG,MAG-BURÇELİK,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6721,KHS 100/70-450 HİDROLİK SİLİNDİR,MAG KODU - ÇEMTAŞ,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C6722,KHS 100/70-400 HİDROLİK SİLİNDİR,MAG KODU - ÇEMTAŞ,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
